md5_file,md5sum,sh1_file,sha1sum,file_size
0.044246912,0.0484750271,0.0547749996,0.0514891148,0
0.0892198086,0.0888199806,0.1081638336,0.1006538868,21626879
0.1467130184,0.13586092,0.1648070812,0.2098960876,43253758
0.1796119213,0.1731441021,0.2099568844,0.1975128651,64880637
0.2437238693,0.2308690548,0.2731211185,0.2506530285,86507516
0.2825469971,0.2723670006,0.3254787922,0.2985131741,108134395
0.3418300152,0.3118360043,0.4000060558,0.3581459522,129761274
0.3772320747,0.3521780968,0.4342019558,0.4023270607,151388153
0.421931982,0.4034769535,0.4872910976,0.4524478912,173015032
0.4735040665,0.4453909397,0.5421237946,0.4991579056,194641911
0.5191090107,0.4867470264,0.6000788212,0.5503730774,216268790
0.562928915,0.5256299973,0.6554880142,0.5928838253,237895669
0.6222550869,0.5675640106,0.7137870789,0.640625,259522548
0.6720368862,0.6109611988,0.7706120014,0.7009930611,281149427
0.7005310059,0.6590127945,0.8120961189,0.7394740582,302776306
0.7472009659,0.7118561268,0.867677927,0.7959911823,324403185
0.7991080284,0.7429230213,0.9261591434,0.8518130779,346030064
0.8764159679,0.7891769409,1.1029751301,0.908946991,367656943
0.8862979412,0.8249092102,1.0316989422,0.9416179657,389283822
1.0179100037,0.9211931229,1.2690329552,1.0050389767,410910701
0.9745690823,0.9188430309,1.25522995,1.0801100731,432537580
1.0264639854,0.9691231251,1.2111399174,1.0860071182,454164459
1.071228981,1.0175859928,1.2476811409,1.1613509655,475791338
1.1055500507,1.0638399124,1.3085598946,1.2742869854,497418217
1.1791579723,1.0906288624,1.3777389526,1.2528531551,519045096
1.2181100845,1.1306419373,1.4298970699,1.2887589931,540671975
1.2472770214,1.1970410347,1.4640669823,1.3524529934,562298854
1.2928180695,1.2199249268,1.5193281174,1.3812789917,583925733
1.3575139046,1.2923700809,1.583231926,1.4316749573,605552612
1.3838391304,1.3454830647,1.6302409172,1.5010519028,627179491
1.460447073,1.348222971,1.7059628963,1.5314440727,648806370
1.4969871044,1.3941681385,1.7745709419,1.6085691452,670433249
1.5272619724,1.4394950867,1.8064529896,1.6290040016,692060128
1.5952031612,1.5066428185,1.8441269398,1.7013370991,713687007
1.6147568226,1.5284640789,2.0106921196,2.0062460899,735313886
1.6958429813,1.5981469154,2.0392491817,1.7986869812,756940765
1.713506937,1.6339709759,2.0059809685,1.859030962,778567644
1.7599668503,1.6745450497,2.0924601555,1.8813080788,800194523
1.8187298775,1.6969330311,2.1410601139,1.9663290977,821821402
1.8638041019,1.7424890995,2.1775200367,1.9823598862,843448281
1.9466249943,1.78439188,2.2563350201,2.0341889858,865075160
1.9929170609,1.8529369831,2.2783620358,2.0778460503,886702039
1.9946620464,1.8686141968,2.3353190422,2.1371569633,908328918
2.073638916,1.9509890079,2.3925151825,2.1760568619,929955797
2.1237261295,1.9557468891,2.4819200039,2.2212338448,951582676
2.1330890656,2.003567934,2.5259051323,2.2771100998,973209555
2.1795620918,2.0495738983,2.5624599457,2.3432450294,994836434
2.2217209339,2.1278848648,2.6142780781,2.3697199821,1016463313
2.2829530239,2.1318531036,2.7045879364,2.4366981983,1038090192
2.3180000782,2.1828320026,2.7303619385,2.5114719868,1059717071
2.3726949692,2.2254230976,2.8007338047,2.5396399498,1081343950
2.4581589699,2.2651600838,2.7307319641,2.4497978687,1102970829
2.624368906,2.4452447891,3.0872061253,2.8418369293,1124597708
2.7260189056,2.4756131172,3.1529858112,2.8630170822,1146224587
2.7119619846,2.5610048771,3.2661590576,2.9142069817,1167851466
2.7632269859,2.5761501789,3.2611758709,3.0501420498,1189478345
2.6649038792,2.4919500351,3.1106851101,3.0987141132,1211105224
2.6725080013,2.5685751438,3.295363903,2.8805000782,1232732103
2.8944060802,2.6880960464,3.2917737961,2.9597427845,1254358982
2.9338212013,2.6716220379,3.7337920666,3.2289350033,1275985861
2.8321390152,2.7019000053,3.3179659843,3.0677280426,1297612740
2.8777301311,2.700922966,3.3796539307,3.0816400051,1319239619
2.9142420292,2.793792963,3.4253189564,3.171074152,1340866498
2.9627389908,2.795470953,3.5043439865,3.2158708572,1362493377
3.0145728588,2.8302030563,3.5877151489,3.2611961365,1384120256
3.0931611061,2.8750059605,3.6434900761,3.2816090584,1405747135
3.0129828453,3.1429128647,3.6407151222,3.2074708939,1427374014
3.2052259445,3.1694750786,3.9765019417,3.6826410294,1449000893
3.1395318508,3.1220681667,3.6715259552,3.2855401039,1470627772
3.1982169151,2.9578351974,3.7273728848,3.3333499432,1492254651
3.16405797,3.0389199257,3.715734005,3.4101891518,1513881530
3.2721238136,3.0171639919,3.8378579617,3.4579730034,1535508409
3.339302063,3.0745379925,3.8821661472,3.4849338531,1557135288
3.3602018356,3.1356971264,4.1977570057,3.6467330456,1578762167
3.3572411537,3.2530648708,4.0365641117,3.6902971268,1600389046
3.3957691193,3.3012170792,3.9916100502,3.6552808285,1622015925
3.4911949635,3.2667620182,4.057600975,3.6862850189,1643642804
3.6075479984,3.2964911461,4.2192778587,3.7304229736,1665269683
3.6428229809,3.3221609592,4.2708959579,3.7904391289,1686896562
3.6384139061,3.4791369438,4.1983308792,3.9233169556,1708523441
3.9702470303,3.5682449341,4.3945150375,3.9360949993,1730150320
3.6978588104,3.4529781342,4.3847339153,3.9448120594,1751777199
3.7167601585,3.496088028,4.3687849045,4.0204060078,1773404078
3.7684140205,3.5448510647,4.4200999737,4.0143289566,1795030957
3.8117818832,3.6368899345,4.4718158245,4.0585482121,1816657836
3.8589758873,3.6313350201,4.5153689384,4.2064628601,1838284715
3.9369130135,3.6672708988,4.5655360222,4.1669261456,1859911594
3.9196820259,3.7682390213,4.6407959461,4.235326767,1881538473
3.9671990871,3.7529239655,4.6616010666,4.243336916,1903165352
4.0292410851,3.7922418118,4.7154929638,4.3008441925,1924792231
4.1332948208,3.8184540272,4.8379309177,4.3900930882,1946419110
4.104336977,3.9347980022,4.8170449734,4.4072620869,1968045989
4.5423109531,4.2276749611,5.1224811077,4.7969539165,1989672868
4.2134609222,3.9534819126,4.9739940166,4.5955648422,2011299747
4.2510938644,3.9935750961,4.9895060062,4.5456318855,2032926626
4.2911670208,4.0443639755,5.0808770657,4.6631159782,2054553505
4.3331959248,4.080575943,5.0815470219,4.6741771698,2076180384
4.3825259209,4.1278688908,5.1564741135,4.6753480434,2097807263
4.4976530075,4.1594438553,5.2061889172,4.7261350155,2119434142
4.4876308441,4.1984510422,5.2485389709,4.8542101383,2141061021
4.5181357861,4.5069849491,5.5795269012,5.5127441883,2162687900
4.5649490356,4.2987110615,5.3570771217,5.0250308514,2184314779
4.592730999,4.4077219963,5.4897429943,4.907804966,2205941658
4.6785988808,4.4657440186,5.5141551495,5.0468118191,2227568537
4.6890690327,4.4244148731,5.5156798363,5.0310719013,2249195416
4.7221589088,4.5329141617,5.5543479919,5.1402549744,2270822295
4.8706579208,4.5001199245,5.6939198971,5.1022870541,2292449174
4.8281629086,4.5903830528,5.6569230556,5.1654508114,2314076053
4.8573689461,4.6571421623,5.7082839012,5.2845318317,2335702932
4.9150178432,4.709883213,5.7662248611,5.2531700134,2357329811
5.0472168922,4.724822998,5.811196804,5.3773419857,2378956690
4.942376852,4.6398770809,5.8485610485,5.3045499325,2400583569
4.9877460003,4.7441790104,5.8442349434,5.4830369949,2422210448
5.0337719917,4.7809369564,6.0063800812,5.5276319981,2443837327
5.1439700127,4.8425178528,6.0431749821,5.4856808186,2465464206
5.1853051186,4.8709449768,6.0847480297,5.8740968704,2487091085
5.2499330044,5.0077161789,6.1320300102,5.5980019569,2508717964
5.2651700974,4.9691510201,6.2015039921,5.6735081673,2530344843
5.3234131336,5.095457077,6.2837657928,5.7565557957,2551971722
5.4657449722,5.0365390778,6.3714590073,5.7250099182,2573598601
5.8246040344,5.1621751785,6.9218719006,6.3033061028,2595225480
5.7295269966,5.1522548199,6.4448239803,5.6288950443,2616852359
